popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,uri,duration_ms,time_signature
54,0.398,0.154,0,-11.395,0,0.0351,0.841,0.157,0.113,0.155,173.589,4li9KmEUg6RVrAe1Y4p86W,spotify:track:4li9KmEUg6RVrAe1Y4p86W,207653,3
50,0.3,0.736,4,-3.986,1,0.0509,0.28,7.25e-05,0.105,0.204,153.284,3FQl2WACbSQBE8hJJV0pvE,spotify:track:3FQl2WACbSQBE8hJJV0pvE,183000,4
50,0.711,0.809,2,-4.389,0,0.0955,0.0447,0,0.339,0.816,106.017,2KslE17cAJNHTsI2MI0jb2,spotify:track:2KslE17cAJNHTsI2MI0jb2,206020,4
50,0.414,0.572,4,-7.443,1,0.0292,0.17,0,0.249,0.829,77.818,72cBk2iqWcax9eoIXGNVM6,spotify:track:72cBk2iqWcax9eoIXGNVM6,128947,4
50,0.318,0.331,10,-14.221,0,0.0272,0.537,5.58e-06,0.677,0.699,89.434,0Sc8AsDTBeZFWg8K9tMARE,spotify:track:0Sc8AsDTBeZFWg8K9tMARE,187360,4
50,0.28,0.0448,9,-22.712,0,0.0368,0.979,0.905,0.115,0.0964,114.894,4HN6Kcrpc0oD4bkccVHkKC,spotify:track:4HN6Kcrpc0oD4bkccVHkKC,178823,4
50,0.555,0.216,3,-11.661,1,0.0721,0.557,0.00416,0.109,0.504,79.109,6me7F0aaZjwDo6RJ5MrfBD,spotify:track:6me7F0aaZjwDo6RJ5MrfBD,87000,3
50,0.48,0.808,5,-4.133,1,0.0423,0.0259,0,0.267,0.37,123.387,4bDPr2VAjcfgUDmN9dGOC3,spotify:track:4bDPr2VAjcfgUDmN9dGOC3,201453,4
50,0.332,0.138,9,-12.741,0,0.0307,0.816,0,0.089,0.116,139.783,3Trub9H0Vyd1ENQ5X6DtoX,spotify:track:3Trub9H0Vyd1ENQ5X6DtoX,169193,3
50,0.246,0.24,10,-13.551,0,0.033,0.925,1.19e-05,0.16,0.197,62.919,1GBkE3HebsNx9Xcp22moFb,spotify:track:1GBkE3HebsNx9Xcp22moFb,360542,4
50,0.427,0.407,2,-9.665,1,0.0382,0.612,0.386,0.109,0.244,168.844,1IbgYIuVwJsibCcT5GFYHy,spotify:track:1IbgYIuVwJsibCcT5GFYHy,266467,4
50,0.292,0.887,8,-3.141,1,0.0736,4.16e-05,0.0243,0.108,0.156,152.093,7DagTehbTpe96SDIdyGaEu,spotify:track:7DagTehbTpe96SDIdyGaEu,155148,4
50,0.55,0.655,9,-8.135,0,0.032,0.4,0.8,0.0576,0.298,135.003,2fZofY7Q6ue5ag4OV82QRS,spotify:track:2fZofY7Q6ue5ag4OV82QRS,278029,4
50,0.83,0.698,5,-6.517,0,0.077,0.224,1.02e-06,0.191,0.595,132.99,09riz9pAPJyYYDVynE5xxY,spotify:track:09riz9pAPJyYYDVynE5xxY,175476,4
50,0.589,0.389,0,-5.972,1,0.028,0.851,0,0.0772,0.501,89.1,3B5UbSndRz907IZhhmUfLi,spotify:track:3B5UbSndRz907IZhhmUfLi,197470,4
50,0.341,0.37,9,-10.661,0,0.0393,0.918,0.258,0.074,0.0417,96.677,6sPpUfwcYBgW3kTXStNsVM,spotify:track:6sPpUfwcYBgW3kTXStNsVM,206493,4
50,0.603,0.341,8,-11.383,1,0.0336,0.693,0.0996,0.101,0.195,110.004,1MQLdI6RONvfjEz4K6ZRXp,spotify:track:1MQLdI6RONvfjEz4K6ZRXp,158364,4
50,0.41,0.182,7,-16.112,0,0.0352,0.819,1.23e-05,0.111,0.465,103.443,5oxI3zaVo6o4TiwVbSHGdZ,spotify:track:5oxI3zaVo6o4TiwVbSHGdZ,148964,4
50,0.697,0.22,0,-13.696,1,0.042,0.703,0,0.0891,0.194,129.966,5uu2OCGGrTRS1sIvlMgKwe,spotify:track:5uu2OCGGrTRS1sIvlMgKwe,145438,4
50,0.638,0.819,10,-4.991,0,0.0643,0.0177,0,0.312,0.721,101.031,4vuJuTLFomqItDrn482nzV,spotify:track:4vuJuTLFomqItDrn482nzV,187893,4
