popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,uri,duration_ms,time_signature
56,0.398,0.154,0,-11.395,0,0.0351,0.841,0.157,0.113,0.155,173.589,4li9KmEUg6RVrAe1Y4p86W,spotify:track:4li9KmEUg6RVrAe1Y4p86W,207653,3
95,0.711,0.809,2,-4.389,0,0.0955,0.0447,0,0.339,0.816,106.017,2KslE17cAJNHTsI2MI0jb2,spotify:track:2KslE17cAJNHTsI2MI0jb2,206020,4
95,0.3,0.736,4,-3.986,1,0.0509,0.28,7.25e-05,0.105,0.204,153.284,3FQl2WACbSQBE8hJJV0pvE,spotify:track:3FQl2WACbSQBE8hJJV0pvE,183000,4
95,0.414,0.572,4,-7.443,1,0.0292,0.17,0,0.249,0.829,77.818,72cBk2iqWcax9eoIXGNVM6,spotify:track:72cBk2iqWcax9eoIXGNVM6,128947,4
95,0.318,0.331,10,-14.221,0,0.0272,0.537,5.58e-06,0.677,0.699,89.434,0Sc8AsDTBeZFWg8K9tMARE,spotify:track:0Sc8AsDTBeZFWg8K9tMARE,187360,4
95,0.83,0.698,5,-6.517,0,0.077,0.224,1.02e-06,0.191,0.595,132.99,09riz9pAPJyYYDVynE5xxY,spotify:track:09riz9pAPJyYYDVynE5xxY,175476,4
95,0.541,0.674,1,-7.04,0,0.0841,0.00649,9.76e-05,0.235,0.123,103.139,0YsGMHid6sFq5PcToe3JZE,spotify:track:0YsGMHid6sFq5PcToe3JZE,317293,4
95,0.79,0.724,8,-3.622,1,0.0353,0.023,0,0.448,0.148,140.009,4sX6GorfHFAy9UdJM00c3v,spotify:track:4sX6GorfHFAy9UdJM00c3v,133921,4
95,0.62,0.61,11,-8.329,0,0.0373,0.00849,0.162,0.205,0.235,127.052,1E1uGhNdBe6Dddbgs2KqtZ,spotify:track:1E1uGhNdBe6Dddbgs2KqtZ,238560,4
95,0.48,0.808,5,-4.133,1,0.0423,0.0259,0,0.267,0.37,123.387,4bDPr2VAjcfgUDmN9dGOC3,spotify:track:4bDPr2VAjcfgUDmN9dGOC3,201453,4
95,0.292,0.887,8,-3.141,1,0.0736,4.16e-05,0.0243,0.108,0.156,152.093,7DagTehbTpe96SDIdyGaEu,spotify:track:7DagTehbTpe96SDIdyGaEu,155148,4
95,0.427,0.407,2,-9.665,1,0.0382,0.612,0.386,0.109,0.244,168.844,1IbgYIuVwJsibCcT5GFYHy,spotify:track:1IbgYIuVwJsibCcT5GFYHy,266467,4
95,0.598,0.846,6,-5.391,0,0.0752,0.0807,0.000929,0.187,0.613,161.958,20kkA2JHtAF5J7iz89iOuB,spotify:track:20kkA2JHtAF5J7iz89iOuB,227827,4
95,0.246,0.24,10,-13.551,0,0.033,0.925,1.19e-05,0.16,0.197,62.919,1GBkE3HebsNx9Xcp22moFb,spotify:track:1GBkE3HebsNx9Xcp22moFb,360542,4
95,0.55,0.655,9,-8.135,0,0.032,0.4,0.8,0.0576,0.298,135.003,2fZofY7Q6ue5ag4OV82QRS,spotify:track:2fZofY7Q6ue5ag4OV82QRS,278029,4
95,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,0BCPKOYdS2jbQ8iyB56Zns,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,307880,4
95,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,238805,4
95,0.341,0.37,9,-10.661,0,0.0393,0.918,0.258,0.074,0.0417,96.677,6sPpUfwcYBgW3kTXStNsVM,spotify:track:6sPpUfwcYBgW3kTXStNsVM,206493,4
95,0.638,0.819,10,-4.991,0,0.0643,0.0177,0,0.312,0.721,101.031,4vuJuTLFomqItDrn482nzV,spotify:track:4vuJuTLFomqItDrn482nzV,187893,4
95,0.589,0.389,0,-5.972,1,0.028,0.851,0,0.0772,0.501,89.1,3B5UbSndRz907IZhhmUfLi,spotify:track:3B5UbSndRz907IZhhmUfLi,197470,4
